SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
DOLATALGO,Dolat Algotech Limited,EQ,12-JAN-2024,1,1,INE966A01022,1,Financial Services
DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008,10,1,INE477B01010,10,Financial Services
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1,1,INE532F01054,1,Financial Services
EMKAY,Emkay Global Financial Services Limited,EQ,28-APR-2006,10,1,INE296H01011,10,Financial Services
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10,1,INE063P01018,10,Financial Services
ESAFSFB,ESAF Small Finance Bank Limited,EQ,10-NOV-2023,10,1,INE818W01011,10,Financial Services
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2,Financial Services
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,10,1,INE007N01010,10,Financial Services
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10,1,INE02NC01014,10,Financial Services
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1,Financial Services
FUSION,Fusion Finance Limited,EQ,15-NOV-2022,10,1,INE139R01012,10,Financial Services
GATECH,GACM Technologies Limited,BE,25-JUL-2016,1,1,INE224E01028,1,Financial Services
GATECHDVR,GACM Technologies Limited,BE,10-OCT-2017,1,1,INE224E01036,1,Financial Services
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1,Financial Services
GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1,1,INE538A01037,1,Financial Services
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10,1,INE289B01019,10,Financial Services
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5,Financial Services
GLFL,Gujarat Lease Financing Limited,BE,08-FEB-1995,10,1,INE540A01017,10,Financial Services
GODIGIT,Go Digit General Insurance Limited,EQ,23-MAY-2024,10,1,INE03JT01014,10,Financial Services
HBSL,HB Stockholdings Limited,BE,23-JUL-2018,10,1,INE550B01022,10,Financial Services
HDBFS,HDB Financial Services Limited,EQ,02-JUL-2025,10,1,INE756I01012,10,Financial Services
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5,1,INE127D01025,5,Financial Services
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1,Financial Services
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10,1,INE795G01014,10,Financial Services
HEXATRADEX,Hexa Tradex Limited,EQ,20-APR-2012,2,1,INE750M01017,2,Financial Services
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2,1,INE481N01025,2,Financial Services
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10,1,INE031A01017,10,Financial Services
HYBRIDFIN,Hybrid Financial Services Limited,BE,05-DEC-2022,5,1,INE965B01022,5,Financial Services
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10,1,INE765G01017,10,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10,1,INE726G01019,10,Financial Services
ICRA,ICRA Limited,EQ,13-APR-2007,10,1,INE725G01011,10,Financial Services
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,INE008A01015,10,Financial Services
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10,1,INE092T01019,10,Financial Services
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1,1,INE022Q01020,1,Financial Services
IFCI,IFCI Limited,EQ,26-APR-1995,10,1,INE039A01010,10,Financial Services
IIFL,IIFL Finance Limited,EQ,17-MAY-2005,2,1,INE530B01024,2,Financial Services
IIFLCAPS,IIFL Capital Services Limited,EQ,20-SEP-2019,2,1,INE489L01022,2,Financial Services
IITL,Industrial Investment Trust Limited,BE,17-AUG-2010,10,1,INE886A01014,10,Financial Services
INDBANK,Indbank Merchant Banking Services Limited,EQ,08-OCT-2008,10,1,INE841B01017,10,Financial Services
INDIANB,Indian Bank,EQ,01-MAR-2007,10,1,INE562A01011,10,Financial Services
INDIASHLTR,India Shelter Finance Corporation Limited,EQ,20-DEC-2023,5,1,INE922K01024,5,Financial Services
INDOSTAR,IndoStar Capital Finance Limited,EQ,21-MAY-2018,10,1,INE896L01010,10,Financial Services
INDOTHAI,Indo Thai Securities Limited,BE,02-NOV-2011,1,1,INE337M01021,1,Financial Services
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10,1,INE095A01012,10,Financial Services
INVENTURE,Inventure Growth & Securities Limited,EQ,04-AUG-2011,1,1,INE878H01024,1,Financial Services
IOB,Indian Overseas Bank,EQ,07-DEC-2000,10,1,INE565A01014,10,Financial Services
IREDA,Indian Renewable Energy Development Agency Limited,EQ,29-NOV-2023,10,1,INE202E01016,10,Financial Services
